,Company,url
31,ASA INT,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BDFXHW57GBGBXSSMM.html
32,ASCENTIAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYM8GJ06GBGBXSTMM.html
33,ASHMORE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B132NW22GBGBXSTMM.html
34,ASHTEAD GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000536739GBGBXSET1.html
35,ASSURA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BVGBWW93GBGBXSTMM.html
36,ASTON MARTIN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BFXZC448GBGBXSTMM.html
37,ASTRAZENECA,/exchange/prices-and-markets/stocks/summary/company-summary/GB0009895292GBGBXSET1.html
38,AUTO TRAD,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BVYVFW23GBGBXSET1.html
39,AVAST,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BDD85M81GBGBXSTMM.html
40,AVEVA GRP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BBG9VN75GBGBXSTMM.html
41,AVIVA,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002162385GBGBXSET1.html
42,AVON RBR.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000667013GBGBXSSMM.html
43,B&M EUROPEAN,/exchange/prices-and-markets/stocks/summary/company-summary/LU1072616219GBGBXSTMM.html
44,BABCOCK INTL,/exchange/prices-and-markets/stocks/summary/company-summary/GB0009697037GBGBXSTMM.html
45,BAE SYS.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002634946GBGBXSET1.html
46,BAILL.G.SHIN.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BFXYH242GBGBXSSMM.html
47,BAILLIE G.JAP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000485838GBGBXSTMM.html
48,BAILLIE GIFFORD,/exchange/prices-and-markets/stocks/summary/company-summary/GB0007913485GBGBXSSMM.html
49,BAILLIE GIFFORD,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BDFGHW41GBGBXSET3.html
50,BAKKAVOR,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF8J3Z99GBGBXSTMM.html
51,BALFOUR B.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000961622GBGBXSTMM.html
52,BANK OF GEORGIA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF4HYT85GBGBXSTMM.html
53,BANKERS INV.TST,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000767003GBGBXSTMM.html
54,BARCLAYS,/exchange/prices-and-markets/stocks/summary/company-summary/GB0031348658GBGBXSET1.html
55,BARR (A.G.),/exchange/prices-and-markets/stocks/summary/company-summary/GB00B6XZKY75GBGBXSTMM.html
56,BARRATT DEVEL.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000811801GBGBXSET1.html
57,BATM ADVANCED,/exchange/prices-and-markets/stocks/summary/company-summary/IL0010849045GBGBXSSMM.html
58,BB HEALTHCARE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BZCNLL95GBGBXSSMM.html
59,BBA AVIATION,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1FP8915GBGBXSTMM.html
60,BBGI SICAV,/exchange/prices-and-markets/stocks/summary/company-summary/LU0686550053GBGBXSTMM.html
61,BCA MARKET,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BP0S1D85GBGBXSTMM.html
62,BEAZLEY,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYQ0JC66GBGBXSTMM.html
63,BELLWAY,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000904986GBGBXSTMM.html
64,BERKELEY GP.HLD,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B02L3W35GBGBXSET1.html
65,BH GLOBAL £,/exchange/prices-and-markets/stocks/summary/company-summary/GG00B2QQPT96GGGBXSSMM.html
66,BH MACRO GBP,/exchange/prices-and-markets/stocks/summary/company-summary/GG00B1NP5142GGGBXSSMM.html
67,BHP GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BH0P3Z91GBGBXSET1.html
68,BIFFA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD8DR117GBGBXSSMM.html
69,BIG YELLOW GRP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002869419GBGBXSTMM.html
70,BIOTECH GWTH,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000385517GBGBXSSMM.html
71,BLACKROCK BRNA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B7W0XJ61GBGBXSSMM.html
72,BLACKROCK FR,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B3SXM832GBGBXSSMM.html
73,BLACKROCK GREAT,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B01RDH75GBGBXSSMM.html
74,BLACKROCK LAT A,/exchange/prices-and-markets/stocks/summary/company-summary/GB0005058408GBGBXSSMM.html
75,BLACKROCK SML,/exchange/prices-and-markets/stocks/summary/company-summary/GB0006436108GBGBXSTMM.html
76,BLACKROCK WLD,/exchange/prices-and-markets/stocks/summary/company-summary/GB0005774855GBGBXSSMM.html
77,BLOOMSBURY PUB.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0033147751GBGBXSSMM.html
78,BLUEFIELD SOLAR,/exchange/prices-and-markets/stocks/summary/company-summary/GG00BB0RDB98GGGBXSSMM.html
79,BMO CAP & INC,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003463287GBGBXSSMM.html
80,BMO GLOBAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000175058GBGBXSTMM.html
81,BMO PRIV. ORD,/exchange/prices-and-markets/stocks/summary/company-summary/GB0030738271GBGBXSSMM.html
82,BODYCOTE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B3FLWH99GBGBXSTMM.html
83,BOOT(H),/exchange/prices-and-markets/stocks/summary/company-summary/GB0001110096GBGBXSSMM.html
84,BOVIS HOMES,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001859296GBGBXSTMM.html
85,BP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0007980591GBGBXSET1.html
86,BR.AMER.TOB.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002875804GBGBXSET1.html
87,BR.EMPIRE TRUST,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001335081GBGBXSTMM.html
88,BR.LAND,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001367019GBGBXSET1.html
89,BR.THROG.TRUST,/exchange/prices-and-markets/stocks/summary/company-summary/GB0008910555GBGBXSSMM.html
90,BREWIN DOLPHIN,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001765816GBGBXSTMM.html
91,BRITVIC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0N8QD54GBGBXSTMM.html
92,BROWN(N.) GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1P6ZR11GBGBXSSMM.html
93,BRUNNER INV.TST,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001490001GBGBXSSMM.html
94,BT GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0030913577GBGBXSET1.html
95,BTG,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001001592GBGBXSTMM.html
96,BUNZL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0744B38GBGBXSET1.html
97,BURBERRY GRP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0031743007GBGBXSET1.html
98,CAIRN ENERGY,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B74CDH82GBGBXSTMM.html
99,CALEDONIA INV.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001639920GBGBXSTMM.html
100,CAP & COUNT,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B62G9D36GBGBXSTMM.html
101,CAP.&REG.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001741544GBGBXSSMM.html
102,CAPITA GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B23K0M20GBGBXSTMM.html
103,CAPITAL GEARING,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001738615GBGBXSSMM.html
104,CARD FACTORY,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLY2F708GBGBXSTMM.html
105,CARNIVAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB0031215220GBGBXSET1.html
106,CARPETRIGHT,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001772945GBGBXSSMM.html
107,CARRS GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BRK01058GBGBXSSMM.html
108,CC JAPAN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYSRMH16GBGBXSSMM.html
109,CENTAMIN,/exchange/prices-and-markets/stocks/summary/company-summary/JE00B5TT1872JEGBXSTMM.html
110,CENTRICA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B033F229GBGBXSET1.html
111,CHARLES TAYLOR,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001883718GBGBXSSMM.html
112,CHARTER COURT,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD822578GBGBXSTMM.html
113,CHEMRING GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B45C9X44GBGBXSSMM.html
114,CHESNARA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B00FPT80GBGBXSSMM.html
115,CINEWORLD,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B15FWH70GBGBXSTMM.html
116,CITY LON INV,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B104RS51GBGBXSSMM.html
117,CITY LON.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001990497GBGBXSTMM.html
118,CITY MERCH.HIGH,/exchange/prices-and-markets/stocks/summary/company-summary/JE00B6RMDP68JEGBXSSMM.html
119,CIVITAS SOCIAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD8HBD32GBGBXSTMM.html
120,CLARKSON,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002018363GBGBXSTMM.html
121,CLIPPER,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BMMV6B79GBGBXSSMM.html
122,CLOSE BR.GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0007668071GBGBXSTMM.html
123,CLS HDGS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF044593GBGBXSTMM.html
124,CMC MKTS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B14SKR37GBGBXSSMM.html
125,COATS GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B4YZN328GBGBXSTMM.html
126,COBHAM,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B07KD360GBGBXSTMM.html
127,COCACOLA HBC AG,/exchange/prices-and-markets/stocks/summary/company-summary/CH0198251305GBGBXSET1.html
128,COMPASS GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD6K4575GBGBXSET1.html
129,COMPUTACENTER,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BV9FP302GBGBXSTMM.html
130,CONNECT GRP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B17WCR61GBGBXSSMM.html
131,CONSORT MED.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000946276GBGBXSSMM.html
132,CONTOURGLBL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF448H58GBGBXSTMM.html
133,CONVATEC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD3VFW73GBGBXSTMM.html
134,COSTAIN GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B64NSP76GBGBXSSMM.html
135,COUNTRYSIDE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYPHNG03GBGBXSTMM.html
136,COUNTRYWIDE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B9NWP991GBGBXSSMM.html
137,CQS NEW C.H.Y.F,/exchange/prices-and-markets/stocks/summary/company-summary/JE00B1LZS514JEGBXSSMM.html
138,CRANSWICK,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002318888GBGBXSTMM.html
139,CREST NICHOLSON,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B8VZXT93GBGBXSTMM.html
140,CRH,/exchange/prices-and-markets/stocks/summary/company-summary/IE0001827041IEGBXSET1.html
141,CRODA INTL.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYZWX769GBGBXSET1.html
142,CUSTODIAN REIT,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BJFLFT45GBGBXSSMM.html
143,CVC CREDIT GBP,/exchange/prices-and-markets/stocks/summary/company-summary/JE00B9MRHZ51JEGBXSSMM.html
144,CYBG,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD6GN030GBGBXSTMM.html
145,DAEJAN HLDGS,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002502036GBGBXSTMM.html
146,DAIRY CREST,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002502812GBGBXSTMM.html
147,DCC,/exchange/prices-and-markets/stocks/summary/company-summary/IE0002424939IEGBXSET1.html
148,DE LA RUE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B3DGH821GBGBXSSMM.html
149,DEBENHAMS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B126KH97GBGBXSSMM.html
150,DECHRA PHARM,/exchange/prices-and-markets/stocks/summary/company-summary/GB0009633180GBGBXSTMM.html
151,DERWENT LONDON,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002652740GBGBXSTMM.html
152,DEVRO,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002670437GBGBXSSMM.html
153,DFS FURN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BTC0LB89GBGBXSSMM.html
154,DIAGEO,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002374006GBGBXSET1.html
155,DIALIGHT,/exchange/prices-and-markets/stocks/summary/company-summary/GB0033057794GBGBXSSMM.html
156,DIGNITY,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BRB37M78GBGBXSSMM.html
157,DIPLOMA,/exchange/prices-and-markets/stocks/summary/company-summary/GB0001826634GBGBXSTMM.html
158,DIRECT LINE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BY9D0Y18GBGBXSET1.html
159,DISCOVERIE GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0000055888GBGBXSSMM.html
160,DIVERSE INC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B65TLW28GBGBXSSMM.html
161,DIXONS CARPHO,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B4Y7R145GBGBXSTMM.html
162,DOMINO'S PIZZA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYN59130GBGBXSTMM.html
163,DP EURASIA,/exchange/prices-and-markets/stocks/summary/company-summary/NL0012328801GBGBXSSMM.html
164,DRAX,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1VNSX38GBGBXSTMM.html
165,DUNEDIN INC.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003406096GBGBXSSMM.html
166,DUNELM,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1CKQ739GBGBXSTMM.html
167,EASYJET,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B7KR2P84GBGBXSET1.html
168,ECOFIN GLOBAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BD3V4641GBGBXSSMM.html
169,EDIN.DRGN.TST.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002945029GBGBXSTMM.html
170,EDIN.INV.TST.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003052338GBGBXSTMM.html
171,EDIN.WWIDE INV,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BHSRZC82GBGBXSSMM.html
172,EDISTON PRPRTY,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BNGMZB68GBGBXSSMM.html
173,EI GRP PLC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1L8B624GBGBXSTMM.html
174,ELECTRA PRIVATE,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003085445GBGBXSSMM.html
175,ELECTROCOMPS.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003096442GBGBXSTMM.html
176,ELEMENTIS,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002418548GBGBXSTMM.html
177,EMPIRIC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLWDVR75GBGBXSSMM.html
178,ENERGEAN OIL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BG12Y042GBGBXSTMM.html
179,ENQUEST,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B635TG28GBGBXSSMM.html
180,ENT. ONE DI,/exchange/prices-and-markets/stocks/summary/company-summary/CA29382B1022JEGBXSTMM.html
181,EP GLOBAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB0033862573GBGBXSSMM.html
182,EQUINITI,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYWWHR75GBGBXSTMM.html
183,ESSENTRA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0744359GBGBXSTMM.html
184,EUROMONEY INST.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0006886666GBGBXSTMM.html
185,EVRAZ,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B71N6K86GBGBXSET1.html
186,EXPERIAN,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B19NLV48JEGBXSET1.html
187,F &C IV.TST,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003466074GBGBXSTMM.html
188,F&C COMM PRP,/exchange/prices-and-markets/stocks/summary/company-summary/GG00B4ZPCJ00GGGBXSTMM.html
189,F&C UK REAL EST,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B012T521GBGBXSSMM.html
190,FDM GROUP HLDG,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLWDVP51GBGBXSTMM.html
191,FERGUSON,/exchange/prices-and-markets/stocks/summary/company-summary/JE00BFYFZP55JEGBXSET1.html
192,FERREXPO,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1XH2C03GBGBXSTMM.html
193,FID.EURO.VAL.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BK1PKQ95GBGBXSTMM.html
194,FID.SP.VAL.,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BWXC7Y93GBGBXSTMM.html
195,FIDELITY ASIAN,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003322319GBGBXSSMM.html
196,FIDELITY CHINA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B62Z3C74GBGBXSTMM.html
197,FIDELITY JAPAN,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003328555GBGBXSSMM.html
198,FINDEL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B8B4R053GBGBXSSMM.html
199,FINSBURY GTH.,/exchange/prices-and-markets/stocks/summary/company-summary/GB0007816068GBGBXSTMM.html
200,FIRSTGROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003452173GBGBXSTMM.html
201,FISHER(J)& SONS,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003395000GBGBXSTMM.html
202,FORESIGHT SOLAR,/exchange/prices-and-markets/stocks/summary/company-summary/JE00BD3QJR55JEGBXSSMM.html
203,FORTERRA,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYYW3C20GBGBXSSMM.html
204,FOXTONS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BCKFY513GBGBXSSMM.html
205,FRESNILLO,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B2QPKJ12GBGBXSET1.html
206,"FULLER,SMITH'A'",/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1YPC344GBGBXSSMM.html
207,FUNDING CIRC,/exchange/prices-and-markets/stocks/summary/company-summary/GG00BYYJCZ96GGGBXSSMM.html
208,FUNDING CIRCLE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BG0TPX62GBGBXSTMM.html
209,FUNDSMITH EMERG,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BLSNND18GBGBXSSMM.html
210,G4S,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B01FLG62GBGBXSTMM.html
211,GALLIFORD TRY,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B3Y2J508GBGBXSTMM.html
212,GAMES WORKSHOP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003718474GBGBXSTMM.html
213,GCP ASSET BCKD,/exchange/prices-and-markets/stocks/summary/company-summary/JE00BYXX8B08JEGBXSSMM.html
214,GCP INFRA.,/exchange/prices-and-markets/stocks/summary/company-summary/JE00B6173J15JEGBXSTMM.html
215,GCP STUDENT LIV,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B8460Z43GBGBXSSMM.html
216,GEM DIAMONDS DI,/exchange/prices-and-markets/stocks/summary/company-summary/VGG379591065GBGBXSSMM.html
217,GENESIS E.M.F.,/exchange/prices-and-markets/stocks/summary/company-summary/GG00B4L0PD47GBGBXSTMM.html
218,GENUS,/exchange/prices-and-markets/stocks/summary/company-summary/GB0002074580GBGBXSTMM.html
219,GEORGIA CAPITAL,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF4HYV08GBGBXSET3.html
220,GEORGIA H,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYSS4K11GBGBXSSMM.html
221,GLAXOSMITHKLINE,/exchange/prices-and-markets/stocks/summary/company-summary/GB0009252882GBGBXSET1.html
222,GLENCORE,/exchange/prices-and-markets/stocks/summary/company-summary/JE00B4T3BW64JEGBXSET1.html
223,GO-AHEAD GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0003753778GBGBXSTMM.html
224,GOCOMPARE.COM,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BZ02Q916GBGBXSSMM.html
225,GR.PORTLAND,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BF5H9P87GBGBXSTMM.html
226,GRAFTON GRP.UTS,/exchange/prices-and-markets/stocks/summary/company-summary/IE00B00MZ448IEGBXSTMM.html
227,GRAINGER,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B04V1276GBGBXSTMM.html
228,GREENCOAT UK,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B8SC6K54GBGBXSTMM.html
229,GREENCORE GRP.,/exchange/prices-and-markets/stocks/summary/company-summary/IE0003864109IEGBXSTMM.html
230,GREENE KING,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0HZP136GBGBXSTMM.html
231,GREGGS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B63QSB39GBGBXSTMM.html
232,GULF MARINE,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BJVWTM27GBGBXSSMM.html
233,GVC HLDGS,/exchange/prices-and-markets/stocks/summary/company-summary/IM00B5VQMV65IMGBXSET1.html
234,GYM GRP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BZBX0P70GBGBXSSMM.html
235,HALFORDS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B012TP20GBGBXSTMM.html
236,HALMA,/exchange/prices-and-markets/stocks/summary/company-summary/GB0004052071GBGBXSET1.html
237,HAMMERSON,/exchange/prices-and-markets/stocks/summary/company-summary/GB0004065016GBGBXSTMM.html
238,HANSA TST PLC,/exchange/prices-and-markets/stocks/summary/company-summary/GB0007879728GBGBXSSMM.html
239,HANSTEEN HLDGS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0PPFY88GBGBXSSMM.html
240,HARBOURVEST,/exchange/prices-and-markets/stocks/summary/company-summary/GG00BR30MJ80GBGBXSTMM.html
241,HARGREAVES LANS,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B1VZ0M25GBGBXSET1.html
242,HARWORTH GP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYZJ7G42GBGBXSSMM.html
243,HASTINGS GP,/exchange/prices-and-markets/stocks/summary/company-summary/GB00BYRJH519GBGBXSTMM.html
244,HAYS,/exchange/prices-and-markets/stocks/summary/company-summary/GB0004161021GBGBXSTMM.html
245,HEADLAM GROUP,/exchange/prices-and-markets/stocks/summary/company-summary/GB0004170089GBGBXSSMM.html
246,HELICAL PLC,/exchange/prices-and-markets/stocks/summary/company-summary/GB00B0FYMT95GBGBXSSMM.html
